UnitDescription	MaintID	AvgHrs	RepairType	
Atlas Copco DML SP	N1000	13.500000	Others	
BSF Area	N1000	32.000000	Minor Job	
BSF Area	N1000	27.500000	Others	
BSF Area	N2000	2.000000	Others	
BSF Area	N2000	21.000000	Repair	
BSF Area	N2050	22.000000	Repair	
BSF Area	N3300	12.500000	Repair	
BSF Area	N4100	13.500000	Repair	
BSF Area	N5020	12.000000	Repair	
BSF Area	N6000	5.250000	Minor Job	
Cat 14M	N2000	152.500000	Rebuild	
Cat 14M	N2000	131.833333	Repair	
Cat 14M	N2004	24.000000	Repair	
Cat 14M	N2004	16.000000	TM Pump	
Cat 14M	N3300	32.875000	Rebuild	
Cat 14M	N4000	75.750000	Rebuild	
Cat 14M	N4000	71.000000	repair	
Cat 14M	N5000	45.000000	Rebuild	
Cat 14M	N5000	39.500000	Repair	
Cat 14M	N6000	34.333333	Rebuild	
Cat 14M3	N1000	360.750000	Rebuild	
Cat 14M3	N2000	156.500000	Rebuild	
Cat 14M3	N2004	24.000000	TM Pump	
Cat 14M3	N3300	32.833333	Rebuild	
Cat 14M3	N4000	87.500000	Rebuild	
Cat 14M3	N5000	42.250000	Rebuild	
Cat 14M3	N6000	39.000000	Rebuild	
Cat 16H	N3300	36.000000	Rebuild	
Cat 16M	N1000	18.000000	Others	
Cat 16M	N1000	349.928571	Rebuild	
Cat 16M	N1000	358.333333	Repair	
Cat 16M	N1009	24.500000	Cylinder Head	
Cat 16M	N2000	152.973684	Rebuild	
Cat 16M	N2000	27.000000	Repair	
Cat 16M	N2000	130.500000	Rework	
Cat 16M	N2004	19.000000	Rework	
Cat 16M	N2004	14.000000	TC PUMP	
Cat 16M	N2004	17.047619	TM PUMP	
Cat 16M	N3300	32.939393	Rebuild	
Cat 16M	N3300	32.500000	Rework	
Cat 16M	N4000	79.444444	Rebuild	
Cat 16M	N4100	12.000000	Others	
Cat 16M	N4100		Rebuild	
Cat 16M	N5000	44.250000	Rebuild	
Cat 16M	N6000	33.854838	Rebuild	
Cat 16M	N6000	7.000000	Rework	
Cat 18M3	N1000	349.900000	Rebuild	
Cat 18M3	N2000	4.500000	Others	
Cat 18M3	N2000	151.653846	Rebuild	
Cat 18M3	N2004	18.500000	Rebuild	
Cat 18M3	N2004	19.208333	TM PUMP	
Cat 18M3	N3300	33.107142	Rebuild	
Cat 18M3	N3300	48.750000	Repair	
Cat 18M3	N4000	78.928571	Rebuild	
Cat 18M3	N4100		Rebuild	
Cat 18M3	N5000	1.000000	Others	
Cat 18M3	N5000	42.428571	Rebuild	
Cat 18M3	N5000	18.000000	Repair	
Cat 18M3	N5000	59.500000	Rework	
Cat 18M3	N6000	7.500000	Others	
Cat 18M3	N6000	34.351851	Rebuild	
Cat 3406 320kVA	N1000	358.500000	Others	
Cat 3406 320kVA	N1000	709.000000	Rebuild	
Cat 3406 365kVA	N1000	40.000000	Rework	
Cat 3406 365Kva	N1402	9.500000	Fan Drive	
Cat 3406 375kVA	N1000	149.500000	Cylinder Head	
Cat 3406 375kVA	N1000	253.800000	Others	
Cat 3406 375kVA	N1000	154.500000	Rebuild	
Cat 3406 375kVA	N1000	158.500000	Repair	
Cat 3406 375kVA	N1201	16.000000	FIP	
Cat 3406 375kVA	N1402	11.500000	Fan Drive	
Cat 3406C 275kVA	N1000	33.500000	FIP	
Cat 3406C 275kVA	N1000	360.000000	Rebuild	
Cat 3406C 275kVA	N1402	10.000000	Fan Drive	
Cat 3406C 365kVA	N1000	25.333333	FIP	
Cat 3406C 365kVA	N1000	255.166666	Rebuild	
Cat 3406C 365kVA	N1009	44.500000	Cylinder Head	
Cat 3406C 365kVA	N1402	11.000000	Fan Drive	
Cat 3412 600kVA	N1000	245.500000	Others	
Cat 3412 600kVA	N1000	136.000000	Repair	
Cat 740	N1000	304.250000	Rebuild	
Cat 740	N1000	422.000000	Repair	
Cat 740	N2000	7.000000	Others	
Cat 740	N2000	162.500000	Rebuild	
Cat 740	N2000	23.000000	Repair	
Cat 740	N2000	143.000000	Rework	
Cat 740	N2004	17.000000	Rebuild	
Cat 740	N2004	13.750000	Rework	
Cat 740	N2004	20.500000	TM Pump	
Cat 740	N2050	72.750000	Rebuild	
Cat 740	N2050	73.500000	Rework	
Cat 740	N2100	22.500000	Others	
Cat 740	N2100	104.166666	Rebuild	
Cat 740	N4000	66.000000	Rebuild	
Cat 740	N4000	63.500000	Repair	
Cat 740	N5000	37.000000	Others	
Cat 740	N5000	64.625000	Rebuild	
Cat 740	N5000	65.000000	Repair	
Cat 740B	N1000	208.000000	Others	
Cat 740B	N1000	382.333333	Rebuild	
Cat 740B	N2000	152.100000	Rebuild	
Cat 740B	N2004	21.000000	Rebuild	
Cat 740B	N2004	18.500000	TM Pump	
Cat 740B	N2050	63.250000	Rebuild	
Cat 740B	N2050	69.000000	RV Part	
Cat 740B	N2100	120.333333	Rebuild	
Cat 740B	N2100	95.000000	Rework	
Cat 740B	N4000	63.500000	Rebuild	
Cat 740B	N4000	4.666666	Repair	
Cat 740B	N5000	66.227272	Rebuild	
Cat 740B	N5000	3.277777	Repair	
Cat 745	N1000	378.750000	Rebuild	
Cat 745	N2000	243.500000	Rebuild	
Cat 745	N2000	214.000000	Rework	
Cat 745	N4000	68.750000	Rebuild	
Cat 745	N4000	59.500000	Repair	
Cat 745	N5000	66.300000	Rebuild	
Cat 773D	N4000	71.000000	Rebuild	
Cat 773E	N1000	18.000000	Minor Job	
Cat 773E	N1000	13.000000	Others	
Cat 773E	N1000	580.833333	Rebuild	
Cat 773E	N1000	581.000000	Repair	
Cat 773E	N1402	13.000000	Fan Drive	
Cat 773E	N2000	181.357142	Rebuild	
Cat 773E	N2050	73.250000	Rebuild	
Cat 773E	N2050	63.000000	Repair	
Cat 773E	N2054	16.916666	TC Pump	
Cat 773E	N4000	68.200000	Rebuild	
Cat 773E	N5000	100.346153	Rebuild	
Cat 773E	N5000	75.666666	Repair	
Cat 773E	N5000	81.500000	Rework	
Cat 773E	N5020	50.285714	Rebuild	
Cat 777D	N1000	20.500000	Others	
Cat 777D	N1000	637.396103	Rebuild	
Cat 777D	N1000	490.000000	Repair	
Cat 777D	N1000	314.300000	Rework	
Cat 777D	N1402	13.357142	Fan Drive	
Cat 777D	N1402	24.000000	Rebuild	
Cat 777D	N2000	165.262820	Rebuild	
Cat 777D	N2000	175.125000	Repair	
Cat 777D	N2000	174.750000	Rework	
Cat 777D	N2050	70.120879	Rebuild	
Cat 777D	N2050	68.250000	Repair	
Cat 777D	N2050	24.750000	Rework	
Cat 777D	N2054	24.250000	Rebuild	
Cat 777D	N2054	24.250000	Repair	
Cat 777D	N2054	21.500000	Rework	
Cat 777D	N2054	21.414772	TC Pump	
Cat 777D	N3320	26.800000	Rebuild	
Cat 777D	N3320	21.000000	Repair	
Cat 777D	N3320	20.500000	Rework	
Cat 777D	N4000	46.900000	Rebuild	
Cat 777D	N4000	61.000000	Repair	
Cat 777D	N4000	66.666666	Rework	
Cat 777D	N4000	21.885416	RV part	
Cat 777D	N5000	21.750000	Others	
Cat 777D	N5000	55.252450	Rebuild	
Cat 777D	N5000	98.318181	Repair	
Cat 777D	N5000	88.300000	Rework	
Cat 777D	N5000	39.570731	RV Part brake	
Cat 777D	N5000	26.464824	RV part Planetary	
Cat 777D	N5020	4.000000	Others	
Cat 777D	N5020	42.295275	Rebuild	
Cat 777D	N5020	55.642857	Repair	
Cat 777D	N5020	25.250000	Rework	
Cat 777D	N5020	8.500000	RV Part	
Cat 777D	N5020	21.468503	RV part brake	
Cat 777E	N1000	209.500000	Others	
Cat 777E	N1000	667.000000	Rebuild	
Cat 777E	N1402	5.000000	Fan Drive	
Cat 777E	N2000	164.250000	Rebuild	
Cat 777E	N2000	111.000000	Repair	
